ID|Naslov|Avtor|Mentor|Ključne besede|Leto|Jezik|Organizacija|Kraj|Dolžina uvoda|Dolžina glavnega dela|Ogledi|Prenosi
29191|Učinki načina anketiranja v spletnih anketah|Berzelak, Jernej|Vehovar, Vasja|način anketiranja, učinek načina anketiranja, napaka merjenja|2014|Angleški jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|2204|289
29199|Konceptualni model upravljavske sposobnosti lokalnih samoupravnih skupnosti|Rožen, Tomaž|Haček, Miro|lokalna demokracija, upravljalska sposobnost|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|3308|326
292|Učinek sestave vzorca pri ocenjevanju parametrov postavk in dosežkov v mednarodnih raziskavah znanja|Rožman, Mojca|Sočan, Gregor|mednarodne raziskave znanja, invariantnost parametrov, PIRLS, TIMSS|2014|Angleški jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1985|354
2922|Vloga marketinškega spleta mest v procesu identifikacije prebivalcev z mestom in njihova zavezanost do kraja bivanja|Udir Mišič, Katja|Podnar, Klement|marketinški splet mesta, zavezanost|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|2379|549
29379|Heteronormativnost vzgojnega procesa|Tuš, Nina|Kuhar, Roman|istospolna družina, heteronormativnost, vrtec|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|3075|437
2938|Pomen komunikacijskih kompetenc zdravnikov v procesu diagnostike in zdravljenja|Terseglav, Saška|Ule, Mirjana|komunikacijske kompetence, motnje v komuniciranju|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|2409|934
29381|Vloga družboslovnih ved v oživljanju javne sfere|Založnik, Pika|Splichal, Slavko|družboslovne znanosti, znanstvena kultura|2014|Angleški jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1583|659
29412|Družbena konstrukcija slabe ženske|Pivec, Nataša|Šadl, Zdenka|telo, spol, seksualnost, moč|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|2374|1007
29413|Načelo učinkovitosti razvojne pomoči Evropske unije in Kitajske Mozambiku|Pliberšek, Eva|Bučar, Maja|mednarodno razvojno sodelovanje, učinkovitost pomoči|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|2247|359
29426|Želja, izbira, subjekt|Živoder, Andreja|Ule, Mirjana||2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1963|342
29427|Javni narativi o preteklosti v okviru procesov tranzicijske pravičnosti|Mihajlović Trbovc, Jovana|Jalušič, Vlasta||2014|Angleški jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1758|529
29649|Konstruiranje in reprezentiranje drugačnosti v lokalnem kontekstu|Grobelšek, Andreja|Dekleva, Bojan|marginalizirane družbene skupine, socialna kategorizacija, kritična diskurzivna analiza, reprezentacije, lokalni mediji, subjekt|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|0|0|2417|494
29667|Pedagoška vrednost interpretativne sheme umetnostnega muzeja|Bračun Sova, Rajka|Kemperl, Metoda|pedagogika, muzejska interpretacija, estetska kompetenca, interpretativna shema, umetnost|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|8|282|2505|409
29686|Motivacijska naravnanost zaposlenih v varstveno-delovnih centrih|Emeršič, Urška|Krajnčan, Mitja|zadovoljstvo pri delu, vodenje, kvaliteta storitev|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|12|296|2391|455
29689|Kakovost življenja, socialna vključenost in odvisnost od alkohola|Čuček-Trifkovič, Klavdija|Kobolt, Alenka|zadovoljstvo z življenjem, socialna vključenost, družinska podpora, depresivna motnja|2014|Slovenski jezik|PEF - Pedagoška fakulteta|Ljubljana|14|285|2793|491
3|ELEKTRIČNE LASTNOSTI HIDRIRANIH RAVNINSKIH LIPIDNIH DVOSLOJEV|VELIKONJA, ALJAŽ|Maček Lebar, Alenka|hidrirani ravninski lipidni dvosloj, temperatura, električni parametri, Langevin-Poisson-Boltzmannov model, Langevin-Bikermanov model|2014|Slovenski jezik|FE - Fakulteta za elektrotehniko||0|0|2636|519
3|Vpliv družbenoekonomskega položaja na izražanje političnih mnenj v anketah|Novak, Meta|Malnar, Brina|politično znanje, anketiranci, razkorak v znanju|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|2646|289
3|Vpliv družbeno odgovornega promocijskega sporočanja o zdravju in zdravilih na strokovno in splošno javnost|Kasesnik, Karin|Kline, Miro||2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1241|478
3|Konkurenčni aspekt trajnostnega menedžmenta|Nučič, Maruša|Jančič, Zlatko|trajnostni menedžment, ekološki menedžment, konkurenčna prednost, kongresni turizem|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|3281|545
3|Primerjalna analiza sindikalnega organiziranja v vojskah držav Evropske unije|Štampar, Ljubo|Jelušič, Ljubica||2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1487|154
3|Načrtovanje k rezultatom usmerjenega proračuna na primeru okolja|Kotnik, Žiga|Škulj, Damjan||2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1981|345
3|Elementi politične patologije in njihov vpliv na volilno abstinenco|Vrhovac, Sanda|Kropivnik, Samo|demokracija, politična patologija, volilna abstinenca, populizem|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|1920|387
3|Vpliv mirovnih operacij na funkcije oboroženih sil srednjeevropskih držav po hladni vojni|Cebek, Igor|Prebilič, Vladimir||2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|14519|305
3|Identiteta potomcev srbskih priseljencev v Sloveniji|Vobič Arlič, Nina|Velikonja, Mitja|Jugoslavija, postkomunizem, nacionalizem, Srbi|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|3290|645
3|Diskurzi medijske politike Evropske unije|Kerševan, Tanja|Erjavec, Karmen|avdiovizualni mediji, storitve, kritična analiza diskurza|2014|Slovenski jezik|FDV - Fakulteta za družbene vede|Ljubljana|0|0|2924|331
