ID|Naslov|Avtor|Mentor|Ključne besede|Leto|Jezik|Organizacija|Kraj|Ogledi|Prenosi
46700|Model zgorevanja trdnih odpadkov na rešetki|Rajh, Boštjan|Samec, Niko|Pretvorba trdnega goriva, trdni odpadki, modeliranje zgorevanja v plasti, ravnotežni model, kurilna naprava z rešetko, zgorevanje, računalniška dinamika tekočin (RDT)|2014|Slovenski jezik|FS - Fakulteta za strojništvo|[Maribor|2585|476
46762|Napredni koncepti vodenja in nadzora energijsko učinkovitih hidravličnih sistemov|Tašner, Tadej|Lovrec, Darko|hidravlični sistemi, energijska učinkovitost, regulator maksimalnega izkoristka, brezžični zajem podatkov|2014|Slovenski jezik|FS - Fakulteta za strojništvo|[Maribor|2043|365
46783|Simulacija turbulentnega toka s hibridnim LES/URANS turbulentnim modelom z uporabo metode robnih elementov|Kocutar, Primož|Škerget, Leopold|metoda robnih elementov, hibridni LES-RANS model, prenos toplote, turbulentni tok, hitrostno vrtinčen zapis, računalniška dinamika tekočin, naravna konvekcija|2014|Slovenski jezik|FS - Fakulteta za strojništvo|[Maribor|2898|350
46942|MIKRO-OBDELAVA IN MIKRO-NAPRAVE IZ OPTIČNIH VLAKEN TEMELJEČE NA SELEKTIVNEM JEDKANJU IN DOPIRANJU S P2O5|Pevec, Simon|Đonlagić, Denis|mikroobdelava, selektivno jedkanje, s fosforjevim pentoksidom dopirana optična vlakna, posebna optična vlakna, optični senzorji Fabry-Perot, večparametrični senzorji, mikro- in nanožičke, senzor lomnega količnika, senzor lomnega količnika in temperature, senzor lomnega količnika in tlaka.|2014|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|Maribor|2676|277
46830|Polihipe materiali za rast bioloških celic pripravljeni s tiol-en polimerizacijo|Sušec, Maja|Krajnc, Peter|poliHIPE, tiol-ene kemija, biološke celice, fotopolimerizacija|2014|Slovenski jezik|FKKT - Fakulteta za kemijo in kemijsko tehnologijo|[Maribor|3121|303
46878|Oblikovanje nacionalnega modela kriminalističnoobveščevalne dejavnosti : doktorska disertacija|Potparič, Damjan|Dvoršek, Anton|kriminalističnoobveščevalna dejavnost, obveščevalno vodena policijska dejavnost, kriminalistična analitika, obveščevalni izdelki, kriminalističnoobveščevalni model, proaktivne policijske strategije, doktorske disertacije|2014|Slovenski jezik|FVV - Fakulteta za varnostne vede|[Ljubljana|2720|434
46763|PB(II) AND HG(II) IONS ADSORPTION USING SURFACE MODIFIED SUPERPARAMAGNETIC IRON OXIDE NANOPARTICLES||Lobnik, Aleksandra|cobalt ferrite, magnetic nanoparticles, tetraethoxysilane, 3-mercaptopropyl trimetoxysilane, thiol group, lead, mercury, adsorption|2014|Angleški jezik|FS - Fakulteta za strojništvo|[Maribor|3217|221
43919|Diferencirani model povpraševanja po cestnih prevozih kot instrument učinkovite cenovne politike na transportnem trgu v Sloveniji|Matajič, Mateja|Jagrič, Timotej|ekonometrični model, panelni podatki, cestninske ceste v Sloveniji, transportno povpraševanje, prevozi z osebnimi avtomobili, prevozi s tovornimi vozili|2014|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Maribor|2119|339
46684|Vpliv zaupanja in pripadnosti odnosu na sodelovanje v oskrbovalnih verigah|Mlaker Kač, Sonja|Gorenak, Irena|zaupanje, pripadnost odnosu, sodelovanje, oskrbovalna veriga.|2014|Slovenski jezik|FL - Fakulteta za logistiko|Celje|3239|387
46707|Vstavitev pedikularnih vijakov v ledveno in križnično hrbtenico z uporabo večnivojske vodilne šablone izdelane z metodo hitre izdelave prototipov|Merc, Matjaž|Vogrin, Matjaž|Preboj, poškodba, prostoročna tehnika, RTG-nadzor, navigacija, odmik, odklon, selektivno lasersko sintranje|2014|Slovenski jezik|MF - Medicinska fakulteta|Maribor|2968|241
46643|Mehanizmi delovanja probiotičnih in protektivnih bakterij PCS 20, PCS 26 ter LGG v preprečevanju metaboličnega sindroma|Gorenjak, Mario|Skok, Pavel|presnovni sindrom, debelost, inzulinska rezistenca, dislipidemija, probiotične bakterije, funkcionalni celični modeli.|2014|Slovenski jezik|MF - Medicinska fakulteta|Maribor|3005|549
46619|MODEL OPTIMALNEGA TRANSPORTA KONTEJNERJEV (TEU) MED VZHODNIMI DRŽAVAMI ZDRUŽENIH DRŽAV AMERIKE IN DRŽAVAMI ZAHODNE EVROPE|Maučec, Hugo|Zelenika, Ratko|Kontejnerski transport, pomorski kontejnerski terminali, optimiranje transporta kontejnerjev, celoštevilsko linearno programiranje.|2014|Slovenski jezik|FGPA - Fakulteta za gradbeništvo, prometno inženirstvo in arhitekturo|[Maribor|2809|242
46080|DEFEKTI PVD-PREVLEK IN NJIHOV VPLIV NA FIZIKALNO-KEMIJSKE LASTNOSTI SISTEMA PREVLEKA/PODLAGA|Gselman, Peter|Zupanič, Franc|defekti, PVD-prevleka, jamičasta korozija, nekovinski vključki v jeklu|2014|Slovenski jezik|FS - Fakulteta za strojništvo|[Maribor|3177|472
46675|Kromatografija s superkritičnimi fluidi v preparativnem in produkcijskem merilu|Oman, Miha|Knez, Željko|Superkritična kromatografija, povečevanje obsega, preparativna superkritična kromatografija, produkcijsko merilo.|2014|Slovenski jezik|FKKT - Fakulteta za kemijo in kemijsko tehnologijo|Maribor|2917|410
46717|Thermodynamic and physical properties for high pressure process design|Knez Marevci, Maša|Škerget, Mojca|phase equilibria, natural materials, conventional and non conventional supercritical fluids, extraction, bio oil, data for biorefinery process design, systems polymer (PEG)/CO2, diffusion coefficient, density, viscosity, surface tension, Capillary Rise (CR) method.|2014|Angleški jezik|FKKT - Fakulteta za kemijo in kemijsko tehnologijo|Maribor|2968|410
46480|FORMULACIJA IN KARAKTERIZACIJA NARAVNIH POLIMERNIH NOSILCEV ZA VEZAVO PIGMENTOV|Perko, Tina|Škerget, Mojca|trigliceridi, superkritični CO2, SF6, S – L fazni prehodi, ravnotežne topnosti, naravni polimeri, difuzijski koeficient, kurkuma, PGSSTM, superkritične ekstrakcije, kurkuminoidi, nanoenkapsulacija, sproščanje aktivne substance, ekonomska analiza|2014|Slovenski jezik|FKKT - Fakulteta za kemijo in kemijsko tehnologijo|Maribor|2707|284
46609|Nevarnost determinističnih učinkov sevanja pri bolnikih med znotrajžilno premostitvijo aorte s pokrito žilno opornico|Kuhelj, Dimitrij|ŠERUGA, TOMAŽ|aortna žilna opornica, znotrajžilno zdravljenje, ionizirajože sevanje, deterministični učinki|2014|Slovenski jezik|MF - Medicinska fakulteta|Maribor|2359|195
46680|MEJE NAČELA UČINKOVITOSTI VARSTVA PRAVIC POSAMEZNIKA V SISTEMU SODNEGA VARSTVA V EU|Berger Škrk, Alenka|Knez, Rajko|"Pravica do učinkovitega sodnega varstva v pravu EU, načelo učinkovitosti v pravu EU, effet utile, posameznikova pravica do učinkovitega sodnega varstva, sodno varstvo posameznikovih pravic v pravu EU, učinkovito sodno varstvo ""unijskih"" pravic, sistem sodnega varstva v pravu EU, situacije zanikanja sodnega varstva"|2014|Slovenski jezik|PF - Pravna fakulteta|Maribor|4114|68
46613|Manipulation of chitosan binding on the polyethylene terephthalate (PET) surface and study of coatings on poultry meat shelf life-time|Tkavc, Tina|Fras Zemljič, Lidija|PET/chitosan/antimicrobial packaging/adsorption-desorption kinetics/microbiological tests|2014|Angleški jezik|FKKT - Fakulteta za kemijo in kemijsko tehnologijo|Maribor|2494|216
46588|DOLOČANJE PARAMETROV NELINEARNIH MODELOV KAPLANOVE TURBINE Z DIFERENČNO EVOLUCIJO|Kranjčič, Dalibor|Štumberger, Gorazd|hidravlične turbine, modeliranje elektroenergetskega sistema, simulacije elektroenergetskega sistema, optimizacija parametrov, interpolacija, aproksimacija funkcije.|2014|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|Maribor|2319|305
