Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi
Prispevek k analizi hidravličnih trenjskih izgub za tok pod tlakom v ceveh krožnega prereza,"Uršič, Matej","Kompare, Boris","Steinman, Franci",gradbeništvo; hidravlične izgube; koeficient trenja; relativna hrapavost; Reynoldsovo število hrap; Reynoldsovo število; Nikuradse; Colebrook-White; Moody; teorija mejne plasti; civil engieering; doctoral thesis; hydraulic losses; friction factor; relative roughness; steady flow; Colebrook-White; Nikuradse; Moody; Reynolds number; Reynolds roughness number; boundary layer theory,2009,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,19,130,4194,837
Odnos med napetostmi in deformacijami za meljne peske v območjih od zelo majhnih do velikih deformacij,"Vilhar, Gregor","Jovičić, Vojkan","Tomaževič, Miha",gradbeništvo; disertacije; meljasti peski; laboratorijske preiskave; konstitutivno modeliranje; civil enginering; doctoral thesis; silty sands; laboratory tests; constitutive modelling,2009,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,44,353,3084,863
Analiza povezanosti osebnostnih lastnosti in gibalnih sposobnosti pri vojakih slovenske vojske v bojni enoti,"Valant, Anja","Tušak, Matej",,šport; vojska; osebnostne lastnosti; bojna enota; gibalne sposobnosti; moški; meritve; testi; vprašalnik; faktorska analiza; analiza variance; Pearsonov koeficient; korelacijska analiza; motor abilities; aerobic conditioning; personality traits; army,2009,Slovenski jezik,FŠ - Fakulteta za šport,,,3601,409
Primerjava sprememb morfoloških značilnosti in motoričnih sposobnosti srednješolcev glede na spol v letih 1994 in 2004,"Beranič, Lovro","Jurak, Gregor","Strel, Janko",dijaki; razlike med spoloma,2009,Slovenski jezik,FŠ - Fakulteta za šport,,,2280,507
"Vpliv športne dejavnosti, prehranjevalnih navad in razvad na počutje nosečnice in izid nosečnosti","Podlesnik Fetih, Anja","Videmšek, Mateja",,nosečnost; športna aktivnost; življenjski stil; higiena; zdravje; dejavniki tveganja; kajenje; alkohol; prehrana; raziskava; anketa; analiza variance; faktorska analiza,2009,Slovenski jezik,FŠ - Fakulteta za šport,11,194,4341,687
Prepoznavanje petletnih otrok z razvojno motnjo koordinacije s pomočjo testov za oceno hitrosti in kakovosti gibanja,"Kalar, Živa","Videmšek, Mateja","Neubauer, David",športna vzgoja; gibalni razvoj; motnje; koordinacija; hitrost; gibanje; predšolski otroci; motorika; testi; t-test; hi-kvadrat test; analiza variance,2009,Slovenski jezik,FŠ - Fakulteta za šport,10,162,3470,641
Vrednotenje mišičnega utrujanja z analizo površinskega elektromiograma,"Štirn, Igor","Strojnik, Vojko","Jarm, Tomaž",šport; trening; elektromiografija; mišice; utrujenost; EMG; obremenitve; meritve; Pearsonov koeficient; analiza variance,2009,Slovenski jezik,FŠ - Fakulteta za šport,,,3080,895
Povezanost športne dejavnosti predšolskih otrok in njihovih staršev z izbranimi dejavniki zdravega načina življenja,"Gregorc, Jera","Videmšek, Mateja","Štihec, Jože",športna vzgoja; športna aktivnost; predšolski otroci; starši; življenjski slog; zdravje; vprašalnik; analiza variance; preschool children; parents; sport activities; healthy living,2009,Slovenski jezik,FŠ - Fakulteta za šport,17,227,3471,454
Dejavniki uspeha slovenskih vrhunskih športnikov na velikem tekmovanju,"Kotnik, Bogdan","Doupona, Mojca","Tušak, Matej",vrhunski šport; psihologija; tekmovanje; uspešnost; vprašalnik; Shapiro-Wilk test; Pearsonov koeficient; regresijska analiza; faktorska analiza; analiza variance,2009,Slovenski jezik,FŠ - Fakulteta za šport,,,2776,486
Siva ekonomija v Sloveniji,"Nastav, Bojan","Lavrač, Ivo","Bojnec, Štefan",Slovenija; siva ekonomija; ekonomska politika; produkcija; bruto domači proizvod; raziskave; meritve; ankete; analiza; ocene; Slovenia; gray economy; economic policy; production; gross domestic product; research; measurements; questionnaires; analysis; evaluation,2009,Slovenski jezik,EF - Ekonomska fakulteta,6,189,2094,349
"Core technological, marketing and complementary competencies as determinants of innovative performance","Rajkovič, Tanja","Prašnikar, Janez",,industrijsko podjetje; inovacije; tehnologija; pristojnost; konkurenca; konkurenčne prednosti; trg; modeli; analiza; industrial enterprises; innovations; technology; competence; competition; competitive advantage; market; models; analysis,2009,Angleški jezik,EF - Ekonomska fakulteta,8,147,2472,262
Analiza in uporaba plačilne bilance pri vodenju ekonomske politike,"Markič, Jože","Kumar, Andrej",,Slovenija; ekonomska politika; monetarna politika; bilance; finančni tokovi; likvodnost; solventnost; varčevanje; investicije; Slovenia; economic policy; monetary policy; balances; financial flows; solvency; savings; investments,2009,Slovenski jezik,EF - Ekonomska fakulteta,7,165,1763,333
"Povezanost med tržno naravnanostjo, inovacijami in uspešnostjo podjetja","Bodlaj, Mateja","Rojšek, Iča",,podjetje; poslovanje podjetja; uspešnost poslovanja; trženje; trg; inovativnost; inovacije; modeli; raziskave; analiza; enterprises; company performance; business efficiency; marketing; market; innovativeness; innovations; models; research; analysis,2009,Slovenski jezik,EF - Ekonomska fakulteta,4,240,1594,269
Vloga informacijske tehnologije in drugih dejavnikov v modelu zrelosti managementa znanja,"Rašula, Jelena","Indihar Štemberger, Mojca","Bosilj-Vukšić, Vesna",obvladovanje znanja; znanje; informacijska tehnologija; poslovanje podjetja; uspešnost poslovanja; modeli; raziskave; analiza; Slovenija; Hrvatska; knowledge management; knowledge; information technology; company performance; business efficiency; models; research; analysis; Slovenia; Croatia,2009,Slovenski jezik,EF - Ekonomska fakulteta,4,126,2641,336
Vpliv peroralne okužbe z bakterijo Porphyromonas gingivalis na sistemsko raven dušikovega oksida pri miših,"Nemec, Ana","Pavlica, Zlatko","Petelin, Milan",,2009,Slovenski jezik,VF - Veterinarska fakulteta,,,2317,312
"Nekateri reprodukcijski, fiziološki in biokemijski parametri pri bovški ovci, pri jezersko solčavski ovci in istrski pramenki","Jenko, Zlatko","Čebulj-Kadunc, Nina",,ovce; avtohtone pasme; Slovenija; bovška ovca; jezersko solčavska ovca; istrska pramenka; spolna zrelost; reprodukcijska aktivnost; anestrus; kri; biokemične preiskave; hormoni,2009,Slovenski jezik,VF - Veterinarska fakulteta,,,3393,375
Gensko pogojene razlike med spoloma pri urejanju telesne teže in izraženosti genov v vmesnih možganih pri miših brez gena SF-1,"Büdefeld, Tomaž","Majdič, Gregor",,,2009,Slovenski jezik,VF - Veterinarska fakulteta,,,1971,268
