Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi 
Second harmonic generation in blue and ultraviolet region using AlGaN waveguides,"Rigler, Martin","Zgonik, Marko",,nonlinear optics; optical waveguides; thin films; optical properties; nonlinear frequency conversion; nelinearna optika; optični valovodi; tanki filmi; optične lastnosti; frekvenčno podvajanje svetlobe,2014,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,15,122,3920,488
Ordering and local fluidics in confined chiral and achiral nematics,"Seč, David","Žumer, Slobodan",,nematic liquid crystals; nematic shells; liquid crystal droplets; topological defects; knotted fields; nematodynamics; microfluidics; nematski tekoči kristali; nematske lupine; tekočekristalne kapljice; topološki defekti; vozli v poljih; mikrofluidika; nematodinamika,2014,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,2981,721
Students' explanations and predictions for interaction between light and prism foil,"Gojkošek, Mihael","Planinšič, Gorazd","Sliško, Josip",physics; prism foil; active learning; scientific reasoning; scientific predictions; scientific explanations; experiments; physics education research; fizika; prizmatična folija; aktivno učenje; znanstveno razmišljanje; znanstvene razlage; napovedi poskusov; pedagoško raziskovanje,2014,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,20,226,2080,514
Analysing climate impacts on the water deficit in agriculture soils over Europe,"Kurnik, Blaž","Kajfež-Bogataj, Lučka",,climate; drought; soil moisture; soil water deficit; evapotranspiration; agriculture; Europe; simulations; podnebje; suša; vlaga v tleh; vodnobilančni primanjkljaj; evapotranspiracija; kmetijstvo; Evropa; simulacije,2014,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,2043,567
Ženska in družba v sodobnem slovenskem romanu,"Jarh Ciglar, Barbara","Zupan Sosič, Alojzija",,slovenska književnost; roman; sodobni slovenski roman; literarne osebe; ženski literarni liki; avtobiografskost; feminizem; spolna identiteta; 21. st.; doktorsko delo,2014,Slovenski jezik,FF - Filozofska fakulteta,,,5089,1064
Poljski in slovenski literarni kanon obdobja modernizma v filmski adaptaciji,"Rezoničnik, Lidija","Jež, Niko",,poljska književnost; slovenska književnost; poljski film; slovenski film; literarni modernizem; filmska adaptacija; literarani kanon; literarni izvirnik; recepcijska estetika; naratologija; morfološko-antropološka analiza filma; doktorsko delo,2014,Slovenski jezik,FF - Filozofska fakulteta,,,1752,444
Osebni zaimki v jeziku slovenskih protestantskih piscev 16. stoletja,"Jelovšek, Alenka","Orel, Irena","Merše, Majda",sloveščina; zaimek; osebni zaimek; pravopis; glasoslovje; dvojnice; besedni red; 16. st.; Slovenian language; pronouns; personal pronouns; orthography; phonetics; word order; 16th century,2014,Slovenski jezik,FF - Filozofska fakulteta,,,10133,435
Konceptualizacija sporazumevalne zmožnosti v slovenščini kot ključne kompetence,"Ivšek, Milena","Kranjc, Simona","Marentič-Požarnik, Barica",jezikovna didaktika; sporazumevanje; kompetence; jezikovne kompetence; slovenščina; doktorsko delo,2014,Slovenski jezik,FF - Filozofska fakulteta,9,10,2930,373
Zgradba izvlečkov,"Jamar, Nina","Šauperl, Alenka","Bawden, David",serijske publikacije; znanstvene serijske publikacije; izvlečki; standardi; ISO standardi; navodila; dokumentalistika; materiali in tehnologije; medicina; bibliotekarstvo; socialno delo; primerjave; prototipni izvlečki; raziskave; doktorska dela,2014,Slovenski jezik,FF - Filozofska fakulteta,,,1804,404
Ključni dejavniki razvojne uspešnosti podeželskih območij v Sloveniji,"Perpar, Anton","Udovč, Andrej","Kastelec, Damijana",podeželje; kapital; gospodarska uspešnost; razvojna uspešnost; razvojni dejavniki; občine; Slovenija; disertacije; rural areas; capital; economic performance; development performance; development factors; municipalities; Slovenia,2014,Slovenski jezik,BF - Biotehniška fakulteta,16,180,1288,194
Influence of viticultural practice on dynamic of some secondary metabolites in grape of grapevine variety 'Sauvignon blanc' (Vitis vinifera L.),"Šuklje, Katja","Rusjan, Denis","Deloire, Alain",viticulture; grapes; ripening; Sauvignon blanc; Vitis vinifera L.; microclimate; secundary metabolites; wine; vinogradništvo; grozdje; dozorevanje; Sauvignon blanc; Vitis vinifera L.; mikroklima; sekundarni metaboliti; vino; disertacije,2014,Angleški jezik,BF - Biotehniška fakulteta,13,86,1530,240
The role of certain senses in creating the regional identity of Dalmatia,"Kljenak, Maja","Golobič, Mojca","Polič, Marko",landscape; environment; senses; place identity; Dalmatia; perception; sensory landscape identity; survey; sensory walk; content analysis; krajina; okolje; čutila; prostorska identitea; Dalmacija; zaznava; čutilna krajnska identiteta; ankete; čutni sprehod; analiza vsebine; disertacije,2014,Angleški jezik,BF - Biotehniška fakulteta,17,311,1604,259
Metabolne poti gradbenih enot za biosintezo FK506 in strukturno-podobnih sekundarnih metabolitov pri bakterijah rodu Streptomyces,"Blažič, Marko","Petković, Hrvoje",,streptomicete; Streptomycetes tsukubaensis; sekundarni metaboliti; poliketidi; takrolimus; biosinteza FK506; genom; bioinformatika; sekvenciranje genoma; disertacije; streptomycetes; Streptomycetes tsukubaensis; secondary metabolites; polyketides; tacrolimus; pharmacological compounds; FK506 biosynthesis; genome; bioinformatics; genome sequencing,2014,Slovenski jezik,BF - Biotehniška fakulteta,14,133,1994,234
Zaključne stopnje v biosintezi tetraciklinskih antibiotikov,"Lukežič, Tadeja","Petković, Hrvoje",,Actinomycetales; Pseudonocardiaceae; Amycolatopsis sulphurea; aromatski poliketidi; tetraciklini; kelokardin; oksitetraciklin; klortetraciklin; biosinteza; post-PKS encimi; pozne stopnje; razvoj orodij; protimikrobne snovi; sekundarni metaboliti; disertacije; Actinomycetales; Pseudonocardiaceae; Amycolatopsis sulphurea; aromatic polyketides; tetracyclines; chelocardin; oxytetracycline; chlortetracycline; biosynthesis; post-PKS enzymes; late stages; tool development; antimicrobial agents; secondary metabolites,2014,Slovenski jezik,BF - Biotehniška fakulteta,14,141,1648,222
Proteomska analiza odziva na sušni stres pri izbranih kultivarjih navadnega fižola (Phaseolus vulgaris L.),"Zadražnik, Tanja","Šuštar Vozlič, Jelka",,proteomika; proteini; sušni stres; suša; navadni fižol; Phaseolus vulgaris; metabolizem; toleranca; disertacije; proteomics; proteins; drought stress; drought; common bean; Phaseolus vulgaris; metabolism; tolerance,2014,Slovenski jezik,BF - Biotehniška fakulteta,,,1328,217
Vpliv eksogenih antioksidantov na endogeni antioksidativni obrambni sistem pri kvasovki Saccharomyces cerevisiae,"Zakrajšek, Teja","Jamnik, Polona",,kvasovke; Saccharomyces cerevisiae; modelni organizem; fiziologija kvasovk; ekologija kvasovk; antioksidanti; endogeni antioksidativni obrambni sistemi; eksogeni antioksidanti; oksidativni stres; proteomi; yeasts; Saccharomyces cerevisiae; model organisms; yeast physiology; yeast ecology; antioxidants; endogenous antioxidative defense systems; exogenous antioxidants; oxidative stress; proteomics,2014,Slovenski jezik,BF - Biotehniška fakulteta,15,160,2239,240
Prepoznavanje plenilcev na osnovi vibracijskih signalov pri stenici Nezara viridula (L.),"Kavčič, Andreja","Čokl, Andrej",,žuželke; Nezara viridula; stenice; plenilske stenice; vibracijska komunikacija; vibracijski signali; časovno-frekvenčna struktura; podlaga; mehanske lastnosti; prenos signalov; prepoznavanje partnerja; nižji razvojni stadiji; zaznavanje vibracij; disertacije; insects; Nezara viridula; stink bugs; predatory stink bugs; vibrational communication; vibrational signals; time-frequency structure; substrate; mechanical properites; signal transmission; mate recognition; juvenile stages; vibroreception,2014,Slovenski jezik,BF - Biotehniška fakulteta,16,198,1203,159
Biodiverziteta arbuskularnih mikoriznih gliv in izbranih skupin rizosfernih mikroorganizmov na naravnih izvirih CO [spodaj] 2,"Šibanc, Nataša","Maček, Irena",,biodiverziteta; biodiverziteta tal; ogljikov dioksid; CO2; povečana koncentracija; naravni izviri CO2; arbuskularna mikoriza; arheje; bakterije; kvasovke; disertacije; biodiversity; soil biodiversity; carbon dioxide; CO2; elevated CO2 concentration; natural CO2 springs; arbuscular mycorrhiza; archaea; bacteria; yeast,2014,Slovenski jezik,BF - Biotehniška fakulteta,20,166,1546,333
Neupravičena obogatitev v primerjalnem in slovenskem pravu,"Lutman, Karmen","Možina, Damjan",,neupravičena obogatitev; restitucija; kondikcije; verzije; odvzem dobička; ugovor odpada obogatitve; razveza dvostranskih pogodb; evropsko zasebno pravo; primerjalno pravo; unjustified enrichment; restitution; performance-based enrichment; non-performance-based enrichment; disgorgement of profits; change of position defence; unwinding of failed contracts; european private law; comparative law,2019,Slovenski jezik,PF - Pravna fakulteta,,,5362,1856
Smiselnost uporabe vitaminskih in mineralnih prehranskih dopolnil pri mladostnikih,"Zdešar Kotnik, Katja","Golja, Petra","Jurak, Gregor",mladostniki; prehrana; prehranska dopolnila; vitamini; minerali; telesna dejavnost; športni klubi; adolescents; nutrition; dietary supplements; vitamins; minerals; physical activity; sports clubs,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,3525,943
Bolnikova pripoved o izkušnji z epilepsijo,"Mlinar, Simona","Petek, Davorina",,pripoved; epilepsija; zasnova pripovedi; socialna vključenost; obvladovanje bolezni; narrative; epilepsy; design of the narrative; social inclusion; disorder management,2019,Slovenski jezik,MF - Medicinska fakulteta,,,1931,413
Konceptualna zasnova sistema za katalogizacijo na osnovi nove paradigme bibliografskega univerzuma,"Pauman Budanović, Mihela","Žumer, Maja",,opisna katalogizacija; bibliotekarstvo; miselni modeli; LRM; katalogizatorji; katalogizacijski proces; bibliografski podatki; descriptive cataloguing; cataloguers; mental models; bibliographic data; library catalogues; cataloguing workflow,2019,Slovenski jezik,FF - Filozofska fakulteta,,,2304,301
Uvedba aerogelne izolacijske odeje Spaceloft v ovoj zračno podprtih konstrukcij,"Zrim, Grega","Krainer, Aleš","Kunič, Roman",zračno podprte stavbe; tekstilije in folije; optične lastnosti; dnevno osvetljevanje; koeficient dnevne svetlobe; količnik dnevne svetlobe; aerogel; eksperimentalno terensko delo; izračuni s programom DAYSIM; izračuni s programom EnergyPlus; air-supported structures; architectural fabrics and foils; optical properties; daylighting; daylight coefficient; daylight factor; aerogel insulated membrane; experimental fieldwork; DAYSIM calculations; EnergyPlus energy use calculations,2019,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,,,3267,615
Odnos vzgojiteljic in vzgojiteljev predšolskih otrok do svoje strokovne avtonomije in do spodbujanja avtonomije otrok v vrtcu,"Janžekovič Žmauc, Irena","Devjak, Tatjana",,avtonomija vzgojiteljic in vzgojiteljev; preschool teachers’ autonomy,2019,Slovenski jezik,PEF - Pedagoška fakulteta,,,2222,343
Učiteljeve strategije poučevanja pri individualnem inštrumentalnem pouku flavte v glasbenih šolah,"Kavčič Pucihar, Ana","Rotar Pance, Branka",,individualni inštrumentalni pouk; glasbena pedagogika; učitelji; glasbene šole; flavta; strategije poučevanja; glasbena nadarjenost; učne stopnje; individual instrumental instruction; flute; teacher; music school; teaching strategies; musical potential; teaching stage,2019,Slovenski jezik,AG - Akademija za glasbo,24,459,2769,473
Interakcija med umetniškim in pedagoškim izobraževanjem bodočih učiteljev pihalnih instrumentov,"Šantl Zupan, Karolina","Rotar Pance, Branka",,glasba; izobraževanje; visoko šolstvo; študenti; učitelji; visokošolsko izobraževanje; individualni pouk pihal; umetniška interpretacija; pedagoško izobraževanje; higher education; individual lessons for wind instruments; artistic interpretation; pedagogical education; students; teachers,2019,Slovenski jezik,AG - Akademija za glasbo,22,352,2177,212
Kvantitativno in kvalitativno določanje cianobakterij v vodnem telesu z uporabo svetlobe različnih valovnih dolžin,"Rozina, Tinkara","Eleršek, Tina","Leštan, Domen",Cianobakterije; Microcystis aeruginosa; zelene alge; fluorescenca; klorofil a; fikocianin; cianotoksini; elektrokemijska oksidacija; Cyanobacteria; Microcystis aeruginosa; green algae; fluorescence; chlorophyll a; phycocyanin; cyanotoxins; electrochemical oxidation,2019,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,,,4274,489
Pomen določanja karboksihemoglobina z oksimetrijo za dokazovanje hemolize pri novorojenčkih,"Lozar Krivec, Jana","Paro Panjan, Darja",,karboksihemoglobin; oksimetrija; hiperbilirubinemija; novorojenček; ikterus; zlatenica novorojenčka; hemoliza; bilirubinska encefalopatija; hemolitična bolezen novorojenčka; Carboxyhemoglobin; CO-oximetry; hyperbilirubinemia; newborn; icterus; neonatal jaundice; haemolysis; bilirubin encephalopathy; haemolytic disease of newborn,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2228,516
Modeli s prostorsko omejitvijo za ocenjevanje gostote superpopulacije,"Luštrik, Roman","Skrbinšek, Tomaž",,populacije; gostota; ocena velikosti populacije; učinek roba; metoda lova-ponovnega ulova; program MARK; program R; populations; density; population size estimate; edge effect; mark-recapture; program MARK; program R,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,3077,341
Vpliv vodenega aktivnega učenja kemije na spremembo razumevanja kemijskih pojmov,"Kolbl, Jasmina","Devetak, Iztok","Juriševič, Mojca",vodeno aktivno učenje kemije (VAUK); Guided Active Learning in Chemistry (GALC),2019,Slovenski jezik,PEF - Pedagoška fakulteta,,,1730,351
Glasbeno izobraževanje učencev s posebnimi potrebami,"Marčun, Andreja","Lesar, Irena",,glasba; izobraževanje; pouk; pedagogika; glasbene šole; učenci s posebnimi potrebami; glasbena umetnost; glasbeno izobraževanje; koncept inkluzivnosti; strategije poučevanja; students with special needs; musical art; music education; concept of inclusiveness; teaching strategies,2019,Slovenski jezik,AG - Akademija za glasbo,20,325,4676,542
TEHNIČNA IN EKONOMSKA OPTIMIZACIJA NALOŽB V ENERGETIKI Z BAYESOVO STATISTIKO IN EVOLUCIJSKIMI ALGORITMI,"Lorencin, Ivan","Pantoš, Miloš","Dolinar, Gregor",odločanje o naložbah; obnovljivi viri električne energije; večkriterijska kombinatorična optimizacija ob negotovosti; Bayesovo sklepanje; predhodna potencirana porazdelitev; Mann-Whitneyev U-test; kopula; decision making on investments; alternative energy supply system; multiobjective optimization; dominance relation; Pareto optimality; evolutionary algorithms; information preparation,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,1777,327
Aspects of the biblical concept of witness and the specific understanding of the concept in the writings of Luke,"Budiselić, Ervin","Matjaž, Maksimilijan","Palmisano, Maria Carmela",witness; testimony; witnessing/testifying; repetition; Holy Spirit; power; Acts; oznanjevalec; oznanilo; oznanjevalec; pričevalec; Sveti Duh; moč; Apostolska dela,2019,Angleški jezik,TEOF - Teološka fakulteta,14,364,2514,317
Nelinearno modeliranje povezav med lesnimi branikami in okoljem,"Jevšenak, Jernej","Levanič, Tomislav","Džeroski, Sašo",dendrokronologija; strojno učenje; primerjava metod; umetne nevronske mreže; modelna drevesa; regresijska drevesa; ansambelske metode; dendrochronology; machine learning; method comparison; artificial neural networks; model trees; regression trees; ensemble methods,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,4224,637
Oblikovanje kulture Kijevske Rusije v luči pojmovanja zgodovine odrešenja,"Malmenvall, Simon","Štrukelj, Anton",,Kijevska Rusija; Bizantinsko cesarstvo; zgodovina odrešenja; srednjeveška kulturna zgodovina; srednjeveška literatura; historična teologija; pravoslavni Slovani; Kievan Rus'; Byzantine Empire; salvation history; medieval cultural history; medieval literature; historical theology; Orthodox Slavs,2019,Slovenski jezik,TEOF - Teološka fakulteta,8,384,2758,666
Model in optimizacija mehanske konstrukcije kolesnih elektromotorjev,"Biček, Matej","Zupan, Samo","Pušavec, Franci",mehanska struktura; kolesni elektromotorji; vplivni parametri; analiza vplivov; robustni modeli; funkcionalnost sestave; mechanical design of structures; in-wheel motors; affecting parameters; analysis of influences; robust models for parameter definition; functional operation,2019,Slovenski jezik,FS - Fakulteta za strojništvo,26,128,1857,220
NEKODIRAJOČE RNA KOT MOŽNI GENETSKI KAZALCI PREŽIVETJA PRI BOLNIKIH Z GLIOMI,"Matos, Boštjan","Glavač, Damjan",,gliomi; radioterapija; kemoterapija; nekodirajoča RNA; dolga nekodirajoča RNA; mikro RNA; izražanje; preživetje; gliomas; radiotherapy; chemotherapy; noncoding RNA; long-noncoding RNA; micro RNA; expression; survival,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2590,588
Vsebnost in sinteza oligomernih proantocianidinov in drugih nizkomolekularnih spojin iz skupine taninov v organih različnih sadnih vrst,"Peršić, Martina","Slatnar, Ana","Jakopič, Jerneja",sekundarni metaboliti; fenoli; encimi; dozorevanje; topila; levkoantocianidini; secondary metabolites; phenolics; enzymes; ripening; solvents; leucoanthocyanidins,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,1768,569
Interakcije listeriolizina O s holesterolom,"Kozorog, Mirijam","Anderluh, Gregor","Plavec, Janez",listeriolizin O; Listeria monocytogenes; od holesterola odvisni citolizini; vezava na membrane; holesterol; jedrska magnetna resonanca (NMR); listeriolysin O; Listeria monocytogenes; cholesterol-dependent cytolysins; membrane-binding; cholesterol; nuclear magnetic resonance (NMR),2019,Slovenski jezik,MF - Medicinska fakulteta,,,2018,595
OCENA VPLIVA TOTALNE KOLČNE ALI KOLENSKE ENDOPROTEZE NA ZBOLEVANJE ZA RAKOM,"Levašič, Vesna","Zadnik, Vesna",,tveganje raka; totalna kolčna endoproteza; totalna kolenska endoproteza; študija s povezovanjem; register endoprotetike; cancer risk; total hip arthroplasty; total knee arthroplasty; linkage study; arthroplasty registry,2019,Slovenski jezik,MF - Medicinska fakulteta,,,3008,381
Profilaktično antibiotično zdravljenje pri terapevtsko hlajenih bolnikih po srčnem zastoju,"Fileković Ribarič, Suada","Noč, Marko",,Primarni srčni zastoj izven bolnišnice Profilaktično antibiotično zdravljenje Hipotermija; Out-of-hospital cardiac arrest Prophylactic antibiotic treatment Hypothermia,2019,Slovenski jezik,MF - Medicinska fakulteta,,,3899,466
Calibration of aerogel ring-imaging Cherenkov detector in Belle II spectrometer,"Mrvar, Manca","Pestotnik, Rok",,The Belle II spectrometer; calibration; Cherenkov photons; the charged kaon/pion separation; hybrid avalanche photodetector; particle identification; Ring-Imaging Cherenkov detector.; Detektor Belle II; fotoni Čerenkova; detektor obročev Čerenkova; hibridni plazovni fotodetektor; identifikacija nabitih delcev; razlikovanje med nabitimi kaoni in pioni; umeritev.,2019,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,3478,443
Spoštovanje drugega kot drugačnega v javni osnovni šoli,"Mlinar, Karmen","Peček Čuk, Mojca",,spoštovanje drugega kot drugačnega; respect of the Other as different,2019,Slovenski jezik,PEF - Pedagoška fakulteta,,,2126,513
"Potek ščitnične orbitopatije pri bolnikih z Gravesovo boleznijo, zdravljenih z radioaktivnim jodom","Šfiligoj Planjšek, Daša","Gaberšček, Simona",,ščitnična orbitopatija; Gravesova bolezen; radiojod; glukokortikoidi; thyroid orbitopathy; Graves' disease; radioiodine; glucocorticoids,2019,Slovenski jezik,MF - Medicinska fakulteta,,,3325,447
NA VERJETNOSTI TEMELJEČE NAČRTOVANJE PRENOSNEGA OMREŽJA Z UPOŠTEVANJEM KRITERIJA TVEGANJA OBRATOVANJA,"KLANČNIK, JURIJ","Pantoš, Miloš",,deterministični kriterij; N-1 sigurnostni kriterij; prenosno omrežje; tveganja; upravljanje s sredstvi; verjetnostni kriterij; verjetnostno načrtovanje prenosnega omrežja; vpliv na omrežje; zanesljivost; Asset management; deterministic criteria; impact on the grid; N-1 contingency; probabilistic criteria; probabilistic transmission network planning; reliability; risk; transmission network,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,2638,382
Structures of constrained blue phases: modelling and simulation,"Wang, Shun","Žumer, Slobodan","Ravnik, Miha",cholesteric liquid crystal; blue phases; disclinations; half-skyrmion lattices; surface anchoring; surface patterning; confinement; dislocations; numerical simulation; holesterični tekoči kristali; modre faze; disklinacije; pol-skirmionske mreže; površinsko sidranje; vzorčenje površine; ograditev; dislokacije; numerične simulacije,2019,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,2656,506
PODPISI IZRAŽANJA GENOV PRI PREDROJSTNI DIAGNOSTIKI ANEVPLOIDIJ,"Volk, Marija","Peterlin, Borut",,podpis izražanja genov; ekspresijska mikromreže; predrojstna diagnostika; anevploidija; biooznačevalec; homeostatski mehanizmi; gene expression signature; expression microarray; prenatal diagnosis; aneuploidy; biomarker; homeostatic mechanism,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2230,287
Uporabnost imunohistokemičnega določanja mutacij receptorja za epidermalni rastni faktor pri raku pljuč,"Turnšek Hitij, Nina","Ocvirk, Janja",,EGFR mutacije; imunohistokemija; specifična protitelesa; nedrobnocelični rak pljuč; preživetje; stroškovna učinkovitost; EGFR mutations; immunohistochemistry; mutation-specific antibodies; non-small-cell lung cancer; survival; cost-effectiveness,2019,Slovenski jezik,MF - Medicinska fakulteta,,,4276,362
Microfluidic structures from nematic liquid crystals,"Kos, Žiga","Ravnik, Miha",,nematic liquid crystals; nematodynamics; microfluidics; field structures; flow generation; microswimmers; active nematics; topological defects; nematski tekoči kristali; nematodinamika; mikrofluidika; strukture polja; generacija toka; mikroplavalci; aktivni nematiki; topološki defekti,2019,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,4645,988
Detection and immunogenicity evaluation of recombinant monoclonal antibodies’ structural variants,"Ignjatović, Janko","Štrukelj, Borut","Švajger, Urban",Monoclonal antibodies; stress; aggregation; characterization; immunogenicity; in vitro tests; DC assay; PBMC assay; Monoklonska protitelesa; stres; agregacija; karakterizacija; imunogenost; in vitro testi; DC assay; PBMC assay,2019,Angleški jezik,BF - Biotehniška fakulteta,,,1806,392
Vpliv rekonstrukcijskih algoritmov pri slikanju s pozitronsko emisijsko tomografijo na izraženost značilnega presnovnega možganskega vzorca pri parkinsonovi bolezni,"Tomše, Petra","Trošt, Maja",,parkinsonova bolezen; FDG PET; rekonstrukcijski algoritmi; značilni presnovni možganski vzorci; Parkinson's disease; FDG PET; reconstruction algorithms; characteristic metabolic brain networks,2019,Slovenski jezik,MF - Medicinska fakulteta,,,1748,322
KLINIČNE ZNAČILNOSTI IN IMUNSKI ODZIVI PRI POSTENCEFALITISNEM SINDROMU PO PREBOLELEM KLOPNEM MENINGOENCEFALITISU,"Bogovič, Petra","Strle, Franc",,Klopni meningoencefalitis; teža bolezni; postencefalitisni sindrom; imunski odziv; napovedni dejavniki; Tick-borne encephalitis; severity of the disease; postencephalitic syndrome; immune response; predictive factors,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2863,545
OPTICAL MODELLING AND OPTIMIZATION OF SOLAR CELLS WITH NANO- AND MICROPHOTONIC STRUCTURES BASED ON RIGOROUS COUPLED WAVE ANALYSIS,"LOKAR, ŽIGA","Krč, Janez",,Optical modelling; photovoltaics; silicon heterojunction solar cells; RCWA; CMA; Optično modeliranje; fotovoltaika; silicijeve heterospojne sončne celice; RCWA; CMA,2019,Angleški jezik,FE - Fakulteta za elektrotehniko,,,3092,570
Poznavanje in zaznavanje živil z geografsko označbo ali označbo porekla pri potrošnikih,"Kos Skubic, Mira","Klopčič, Marija","Golob, Terezija",živila; označba porekla; geografska označba; percepirana vrednost; poznavanje; zaznavanje; hedonski preskusi; potrošniki; conjoint analiza; foods; designation of origin; geographical designation; perceived value; perception; hedonic tests; consumers; conjoint analysis,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,3285,522
OVREDNOTENJE MERILNE NEGOTOVOSTI V PSIHOFIZIOLOŠKIH MERITVAH ZARADI ANKSIOZNOSTI UDELEŽENCA,"GRŽINIČ FRELIH, NINA","Geršak, Gregor","Podlesek, Anja",psihofiziološke meritve; krvni tlak; prevodnost kože; merilna negotovost; merilna anksioznost; protokol; psychophysiological measurements; blood pressure; skin conductance; measurement uncertainty; measurement anxiety; protocol,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,2608,455
Uresničevanje volilne pravice na volišču,"Kanižar, Rastislav","Zagorc, Saša",,demokracija; ustavnost; zakonitost; človekove pravice in svoboščine; volitve; tradicionalno volišče; volilna pravica; ljudska suverenost in demokratična oblast; demokratični volilni standardi; novi načini in tehnologije glasovanja.; democracy; constitutionality; legality; human rights and freedoms; election; traditional polling station; right to vote; people’s sovereignty and democratic authority; democratic electoral standards; new methods and technologies of voting.,2019,Slovenski jezik,PF - Pravna fakulteta,,,2416,512
SPREMLJANJE OKUŽBE Z VIRUSOM HEPATITISA C MED SLOVENSKIMI NOSEČNICAMI,"Kopilović, Boris","Klavs, Irena","Poljak, Mario",Hepatitis C virus; prevalenca; nosečnice; Hepatitis C virus; prevalence; pregnant women,2019,Slovenski jezik,MF - Medicinska fakulteta,,,3644,334
BIOSINTEZA AKTINOPLANSKE KISLINE V STREPTOMYCES RAPAMYCINICUS,"Mrak, Peter","Žgur Bertok, Darja",,aktinoplanska kislina; rapamicin; sinergija; biosinteza; aktinobakterije; sekundarni metabolizem; naravni produkt; poliketidna sintaza; peptidna sintetaza; trikarbalilna skupina; actinoplanic acid; rapamycin; synergy; biosynthesis; actinobacteria; secondary metabolism; natural product; polyketide synthase; nonribosomal peptide synthetase; tricarballylic moiety,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2954,314
Photonics and topology of liquid crystal dispersions,"Mur, Maruša","Muševič, Igor",,"optical switch; stimulated emission depletion (STED); all-optical light control; whispering gallery mode laser; ferromagnetic nematic droplet; magnetic field tuning; topological defect formation; passively driven nematic; optični preklopnik; deplecija s stimulirano emisijo (STED); povsem optični nadzor svetlobe; ""whispering gallery"" laser; kapljice feromagnetnega nematika; uglaševanje z magnetnim poljem; nastanek topoloških defektov; pasivno gnan nematik",2019,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,2291,531
Advanced combustion concepts with innovative waste derived fuels,"Žvar Baškovič, Urban","Katrašnik, Tomaž","Jakubek, Stefan",Internal combustion engines; Advanced combustion concepts; Alternative fuels; Pollutants emissions; 0D thermodynamic calculation; Motorji z notranjim zgorevanjem; Napredni zgorevalni koncepti; Alternativna goriva; Izpusti onesnažil; 0D termodinamska analiza,2019,Angleški jezik,FS - Fakulteta za strojništvo,26,164,4133,745
"Vpliv kirurškega zdravljenja in obsevanja na imunski status, stanje prehranjenosti ter vnetni odziv pri bolnikih z rakom ustne votline","Dovšak, Tadej Peter","Ihan Hren, Nataša",,rak ustne; operacija; radioterapija; imunski status; prehranjenost; oral cancer; operation; radiotherapy; immune status; nutritional status,2019,Slovenski jezik,MF - Medicinska fakulteta,,,3935,597
The effects of information dissemination in financial markets,"Ichev, Riste","Marinč, Matej",,finančni trg; trg kapitala; informacije; investicije; trgovanje; delnice; cena; mediji; politika; primeri; raziskave; analiza,2019,Angleški jezik,EF - Ekonomska fakulteta,4,103,2302,175
The influence of accountability on managerial myopia,"Ličen, Mina","Slapničar, Sergeja",,management accounting; management; manager; responsibility; leadership; neuroscience; psychology; control; prizes; money; vodstveno računovodstvo; management; manager; odgovornost; vodenje; kognitivna znanost; psihologija; kontrola; nagrade; denar,2019,Angleški jezik,EF - Ekonomska fakulteta,4,96,1792,252
OKSIDATIVNI STRES PRI RUDARJIH V PREMOGOVNIKU,"Zimet, Zlatko","Bilban, Marjan",,oksidativni stres; onesnažena delovna atmosfera; rudarji; oxidative stresss; polluted working environment; coal miners,2019,Slovenski jezik,MF - Medicinska fakulteta,,,1945,265
PREDNOST TESTIRANJA NA OKUŽBO Z ONKOGENIMI HUMANIMI PAPILOMSKIMI VIRUSI DOMA PRI NEODZIVNICAH V PROGRAMU ZORA,"Ivanuš, Urška","Poljak, Mario",,rak materničnega vratu; presejalni program; neodzivnice; HPV; samoodvzem vzorca; cervical cancer prevention; screening programme; non-attenders; cytology; HPV; self-sampling,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2274,374
